Reference,Quantity,Value,Manufacturer Number,Digikey Number
"C1,C2",2,0805 10u,CL21B106KOQNNNE,1276-2872-1-ND
"C3,C4,C5,C6,C7,C8,C9,C10,C12,C13,C15",11,0603 0.1u,CL10F104ZB8NNNC,1276-1012-1-ND
"C11,C14",2,0603 1u,CL10B105KP8NNNC,1276-1946-1-ND
"C16,C17",2,0603 27p,C0603C270J5GACTU,399-C0603C270J5GACTUCT-ND
"C18,C19,C20,C23,C26,C27",6,0805 0.1u,CL21B104KBCNNNC,1276-1003-1-ND
"C21,C22,C24,C25",4,0805 0.01u,CL21B103KBANNNC,1276-1015-1-ND
J2,1,type-C female,UJ20-C-H-G-SMT-1-P16-TR,2223-UJ20-C-H-G-SMT-1-P16-TRCT-ND
L1,1,2.2u,VLS4012ET-2R2M,445-6686-1-ND
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R16,R17",13,0805 27,ERJ-6GEYJ270V,P27ACT-ND
"R12,R13",2,0805 100,ERA-6AEB101V,P100DACT-ND
R14,1,0805 453k,ERA-6AEB4533V,P453KDACT-ND
R15,1,0805 100k,ERJ-6GEYJ104V,P100KACT-ND
"R18,R19",2,0805 5.1k,ERJ-6GEYJ512V,P5.1KACT-ND
"R20,R21",2,0805 1k,ERA-6AEB102V,P1.0KDACT-ND
"R22,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33",11,0805 10k,RMCF0805FT10K0,RMCF0805FT10K0CT-ND
R23,1,0805 18,ERJ-6GEYJ180V,P18ACT-ND
R34,1,0805 2.7k,ERA-6AEB272V,P2.7KDACT-ND
"SW1,SW2",2,Button,PTS647SK38SMTR2 LFS,108-PTS647SK38SMTR2LFSCT-ND
U2,1,DC/DC,TLV62568DBVR,296-47359-1-ND
U3,1,TVS,USBLC6-2SC6,5399-USBLC6-2SC6CT-ND
U4,1,TVS,SMF5.0CA,5399-SMF5.0CACT-ND 
U5,1,Controller,RP2040,2648-SC0914(13)CT-ND
U6,1,RAM,W25Q128JVSIM,W25Q128JVSIM-ND
U7,1,D-FF,74LVC1G175,1727-6068-1-ND
U8,1,Display Connector,2328702-8,A141389CT-ND
"U10,U12",2,Shift registor,74LV165PW-Q100J,1727-74LV165PW-Q100JCT-ND
U13,1,LED driver,TLC59283DBQR,296-30546-1-ND
U14,1,0805 LED RED,LTST-C171KRKT,160-1427-1-ND
U14,5,0805 LED ORANGE,LTST-C171KFKT,160-1425-1-ND
U14,10,0805 LED GREEN,LTST-C171KGKT,160-1426-1-ND 
Y1,1,Crystal,ABLS-12.000MHZ-B4-T,535-10218-1-ND
,,,,
,,,,
,,,,
,,,,
U1,3,Pogopin 5pin Male,,
U8,1,Display FPC,,
"U9,U11",2,EC11,,
