Reference,Quantity,Value,Manufacturer Number,Digikey Number
"C1,C2,C3,C4,C7",5,0805 0.1u,CL21B104KBCNNNC,1276-1003-1-ND
"C5,C6",2,0805 0.01u,CL21B103KBANNNC,1276-1015-1-ND
"R1,R4,R5,R6,R7,R8",6,0805 10k,RMCF0805FT10K0,RMCF0805FT10K0CT-ND
R2,1,0805 18,ERJ-6GEYJ180V,P18ACT-ND
R3,1,0805 2.7k,ERA-6AEB272V,P2.7KDACT-ND
U3,1,D-FF,74LVC1G175,1727-6068-1-ND
U4,1,Display Connector,2328702-8,A141389CT-ND
U5,1,LED driver,TLC59283DBQR,296-30546-1-ND
U6,1,0805 LED RED,LTST-C171KRKT,160-1427-1-ND
U6,5,0805 LED ORANGE,LTST-C171KFKT,160-1425-1-ND
U6,10,0805 LED GREEN,LTST-C171KGKT,160-1426-1-ND 
U8,1,Shift registor,74LV165PW-Q100J,1727-74LV165PW-Q100JCT-ND
,,,,
,,,,
,,,,
,,,,
,,,,
U1,3,Pogopin 5pin Female,,
U2,3,Pogopin 5pin Male,,
U4,1,Display FPC,,
U7,1,EC11,,
